variable name,title,element type,version,definition,short description,datatype,maximum character quantity,input restriction,minimum value,maximum value,permissible values,permissible value descriptions,permissible value output codes,unit of measure,guidelines/instructions,notes,preferred question text,keywords,references,population.all,domain.general (for all diseases),domain.traumatic brain injury,domain.Parkinson's disease,domain.Friedreich's ataxia,domain.stroke,domain.amyotrophic lateral sclerosis,domain.Huntington's disease,domain.multiple sclerosis,domain.neuromuscular diseases,domain.myasthenia gravis,domain.spinal muscular atrophy,domain.Duchenne muscular dystrophy/Becker muscular dystrophy,domain.congenital muscular dystrophy,domain.spinal cord injury,domain.headache,domain.epilepsy,classification.general (for all diseases),classification.acute hospitalized,classification.concussion/mild TBI,classification.epidemiology,classification.moderate/severe TBI: rehabilitation,classification.Parkinson's disease,classification.Friedreich's ataxia,classification.stroke,classification.amyotrophic lateral sclerosis,classification.Huntington's disease,classification.multiple sclerosis,classification.neuromuscular diseases,classification.myasthenia gravis,classification.spinal muscular atrophy,classification.Duchenne muscular dystrophy/Becker muscular dystrophy,classification.congenital muscular dystrophy,classification.spinal cord injury,classification.headache,classification.epilepsy,historical notes,Label(s),see also,submitting organization name,submitting contact name,submitting contact information,effective date,until date,steward organization name,steward contact name,steward contact information,creation date,last change date,administrative status
Elgblty_crtra,Eligibility-criteria,CDE,1,"A limited list of criteria for selection of participants in the clinical study, provided in terms of inclusion and exclusion criteria and suitable for assisting potential participants in identifying clinical studies of interest. Use a bulleted list for each criterion below the headers ""Inclusion Criteria"" and ""Exclusion Criteria"".","A limited list of criteria for selection of participants in the clinical study, provided in terms of inclusion and exclusion criteria and suitable for assisting potential participants in identifying clinical studies of interest.",ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elgblty_gndrbsd,Eligibility-gender based,CDE,1,"If applicable, indicate whether participant eligibility is based on gender.","If applicable, indicate whether participant eligibility is based on gender.",ALPHANUMERIC,,1,,,"{2,1}","{no,yes}","{NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elgblty_maxage,Eligibility-maximum age,CDE,1,"The numerical value, if any, for the maximum age a potential participant can be to be eligible for the clinical study.","The numerical value, if any, for the maximum age a potential participant can be to be eligible for the clinical study.",NUMERIC,999999,0,0,999999,{NULL},{NULL},{NULL},,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elgblty_minage,Eligibility-minimum age,CDE,1,"The numerical value, if any, for the minimum age a potential participant must meet to be eligible for the clinical study.","The numerical value, if any, for the minimum age a potential participant must meet to be eligible for the clinical study.",NUMERIC,999999,0,0,999999,{NULL},{NULL},{NULL},,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elgblty_sx,Eligibility-sex,CDE,1,The sex of the participants eligible to participate in the clinical study.,The sex of the participants eligible to participate in the clinical study.,ALPHANUMERIC,,1,,,"{3,2,1}","{""Indicates that only male participants are being studied"",""Indicates that only female participants are being studied"",""Indicates no limit on eligibility based on the sex of participants""}","{NULL,NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elgblty_sxgndr,Eligibility-sex/gender,CDE,1,"The sex and, if applicable, gender of the participants eligible to participate in the clinical study.","The sex and, if applicable, gender of the participants eligible to participate in the clinical study.",ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elgblty_unttme,Eligibiity-unit of time,CDE,1,The unit of time in which the age is measured,The unit of time in which the age is measured,ALPHANUMERIC,,1,,,"{5,4,1,6,2,3,7}","{hours,days,years,minutes,months,weeks,n/a}","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emladdrss,Email address,CDE,1,electronic mail address of the central contact person,electronic mail address of the central contact person,ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrllmnt,Enrollment,CDE,1,The estimated total number of participants to be enrolled (target number) or the actual total number of participants that are enrolled in the clinical study.,The estimated total number of participants to be enrolled (target number) or the actual total number of participants that are enrolled in the clinical study.,NUMERIC,1000000,0,0,1000000,{NULL},{NULL},{NULL},,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EthnUSACat,Ethnicity USA Category,CDE,1,Category of ethnicity the participant/subject most closely identifies with,Category of ethnicity the participant/subject most closely identifies with,ALPHANUMERIC,,1,,,"{""Not Hispanic or latino"",""Hispanic or Latino"",Unknown,""Not reported""}","{""2=A person not meeting the definition for Hispanic or Latino."",""1=A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.  The term \""Spanish origin\""� can also be used in addition to \""Hispanic or Latino.\"""",""999= not be determined or unsure"",""3=Not provided or available""}","{2,1,999,3}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expndaccss_NCTnum,Expanded access NCT number,CDE,1,"If expanded access is available, the NCT number of the expanded access record. If there is no existing expanded access record, the responsible party who is both the manufacturer of the investigational drug product (including a biological product) and the sponsor of the ACT is required to create an expanded access record.","If expanded access is available, the NCT number of the expanded access record.",ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Face_AIS,Face AIS,UDE,1,AIS severity of injury for this body region,AIS severity of injury for this body region,NUMERIC,,1,,,"{5,6,2,1,4,3}","{5,6,2,1,4,3}","{NULL,NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDAcntr,FDA center,CDE,1,The name or abbreviation of the FDA Center with which the IND or IDE is filed.,The name or abbreviation of the FDA Center with which the IND or IDE is filed.,ALPHANUMERIC,,1,,,"{CBER,CDER,CDRH}","{""Center for BiologicsEvaluation and Research"",""Center for Drug Evaluation and Research"",""Center for Devices and Radiological Health""}","{NULL,NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibrinogen,Fibrinogen,UDE,1,serum measurement of fibrinogen,serum measurement of fibrinogen,NUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ft2fly,Fit to Fly Assessment,UDE,1,Assessment of patients ability to endure a long distance air evacuation in last 6 hours,Assessment of subjects ability to endure a long distance air evacuation in last 6 hours,ALPHANUMERIC,,1,,,"{2,1,3}","{no,yes,n/a}","{NULL,NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ft2fly2,Fit to Fly Assessment #2,UDE,1,Assessment of patients ability to endure a long distance air evacuation in last 6 hours,Assessment of subjects ability to endure a long distance air evacuation in last 6 hours,ALPHANUMERIC,,1,,,"{6,4,5,2,3,1}","{""n/a no assessment available"",agree,""strongly agree"",disagree,unsure,""strongly disagree""}","{NULL,NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCS,Glasgow Coma Score (GCS) - total score,CDE,1,"The GCS is a standardized instrument for assessing the level of consciousness. It evaluates three aspects of responsiveness: eye opening, motor response, verbal response. The total score is the sum of the scores for the three response types.",Total GCS,NUMERIC,17,0,3,17,"{15,14,13,9,12,16,17,5,6,7,10,8,11,4,3}","{15,14,13,9,12,untestable,unknown,5,6,7,10,8,11,4,3}","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCSe,Glasgow Coma Score (GCS) - eye response scale,CDE,1,Score that describes the participant's eye response according to the Glasgow Coma Scale (GCS),Assessment of eye response,NUMERIC,,1,,,"{3,2,4,5,6,1}","{""eye opening to speech/verbal command"",""eye opening to pain"",""eyes open spontaneously"",untestable,unknown,""no eye opening""}","{NULL,NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCSm,Glasgow Coma Score - motor response scale,CDE,1,Score that describes the participant's motor response according to the Glasgow Coma Scale (GCS),Assessment of motor response,NUMERIC,,1,,,"{5,3,4,8,2,7,1,6}","{""localizes pain"",""abnormal flexion"",""flexion withdrawal/withdraws from pain"",unknown,""abnormal extension/extensor response"",untestable,""no motor response"",""obeys command""}","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCSq,Glasgow Coma Score - Qualifier,CDE,1,Documentation of factors potentially affecting GCS eye or verbal,Documentation of factors potentially affecting GCS,NUMERIC,,1,,,"{2,3,4,1}","{""obstruction to the patient's eye"",""patient intubated"",""valid GCS: patient was not sedated, not intubated, and did not have obstruction to the eye"",""patient chemically sedated or paralyzed""}","{NULL,NULL,NULL,NULL}",,,,,,No references available,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCSv,Glasgow Coma Score (GCS) - verbal response scale,CDE,1,Score that descirbes the participant's verbal response according to the Glasgow Coma Scale (GCS),Assessment of verbal response,NUMERIC,,1,,,"{2,4,5,1,7,3,6}","{""incomprehensible sound"",confused,oriented,""no verbal response/sounds"",unknown,""inappropriate words"",untestable}","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender,Gender Code,CDE,1,The code representing the gender of a person,The code representing the gender of a person,ALPHANUMERIC,,1,,,"{Male,Female,Unknown,""not specified""}","{""2=Male a person who belongs to the sex that normally produces sperm"",""1=female a person who belongs to the sex that normally produces ova"",""999=unkown not known, not observed, not recorded or refused"",""3=not specified not stated explicity or in detail""}","{2,1,999,3}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeneralNotesTxt,General notes text,CDE,1,General notes,General notes,ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,"Choose all that apply.  Response is obtained by report of the participant/subject or caretaker.  Collecting information on race may not be allowed in some countries for concerns related to discrimination. In other countries, however, these concerns are considered a reason for recording race in order to guarantee equal access to care. Investigators receiving funding from the US National Institutes of Health (NIH) are required to report the number of subjects enrolled on an annual basis using the racial categories listed.",,Additional information (if any):,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GlucoseLevel,Glucose Level,UDE,1,serum measurement of glucose,serum measurement of glucose,NUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOSE,Glasgow Outcome Scale Extended,UDE,1,Glasgow Outcome Scale Extended,Glasgow Outcome Scale Extended,ALPHANUMERIC,,1,,,"{7,9,5,3,1,10,8,2,4,6}","{""lower good recover"",""clinic notes present but insufficient data to score"",""lower moderate disability"",""lower severe disability"",dead,""no appointment"",""upper good recovery"",""vegetative state"",""upper severe disability"",""upper moderate disability""}","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grpchrt_dscrptn,Group/cohort description,CDE,1,Explanation of the nature of the study group,Explanation of the nature of the study group,ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,Enter the name of the study site,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grpchrt_lbl,Group/cohort label,CDE,1,The short name used to identify the group.,The short name used to identify the group.,ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head_AIS,Head AIS,UDE,1,AIS severity of injury for this body region,AIS severity of injury for this body region,NUMERIC,,1,,,"{5,6,2,1,4,3}","{5,6,2,1,4,3}","{NULL,NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeartRate,Heart Rate,CDE,1.1,The participants/subjects pulse or number of contractions (heart beats)  per minute.,The participants/subjects heart rate measured in beats per minute.,NUMERIC,300,0,0,300,{NULL},{NULL},{NULL},Beats per minute,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGB,HGB,UDE,1,serum measurement of hemoglobin,serum measurement of hemoglobin,NUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HgtMeasr,Height Measurement,CDE,1,Measurement of participant's/subject's height,Measurement of participant's/subject's height,NUMERIC,400,0,0,400,{NULL},{NULL},{NULL},Centimeter,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hmnsubj_rvwbrdstats,Human subjects protection review board status,CDE,1,Indicate whether a clinical study has been reviewed and approved by at least one human subjects protection review board or such review is not required per applicable law,Indicate whether a clinical study has been reviewed and approved by at least one human subjects protection review board or such review is not required per applicable law,ALPHANUMERIC,,1,,,"{""Request not yet submitted"",""Submitted denied"",""Submission not required per applicable law"",""Submitted pending"",""Submitted approved"",Exempt}","{""Review board approval is required but has not yet been requested"",""Review board has denied the approval request"",""Review board approval is not required because the study is not subject to laws, regulations, or applicable institutional policies requiring human subjects review"",""Review board approval has been requested but not yet granted"",""Review board approval has been requested and obtained"",""An exemption in accord with applicable law and regulation has been granted""}","{NULL,NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HospAdmitDateTime,Hospital Admit Date and Time,CDE,1,Date and time the particpant is admitted to the hospital,Date and time the particpant is admitted to the hospital,DATE,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HospDschrgDate,Hospital Discharge Date,CDE,1,The date the participant/subject was discharged from the hospital,The date the participant/subject was discharged from the hospital,DATE,,0,,,{NULL},{NULL},{NULL},,Enter the Unique Identifier created by the NTRR system (Pseudo GUID or GUID),,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HospDschrgDispo,Hospital Discharge Disposition,CDE,1,The disposition of the participant/subject when discharged frm the hospital,The disposition of the participant/subject when discharged frm the hospital,ALPHANUMERIC,,1,,,"{7,5,1,2,11,4,10,6,9,12,13,3,8}","{""discharged/transferred to skilled nursing facility"",deceased/expired,""discharged/tranferred to a short-term general hospital for inpatient care"",""discharged/transferred to an intermediate care facility"",""discharged/transferred to long term care hospital"",""left against medical advice or discontinued care"",""discharged/transferred to inpatient rehab or designated unit"",""discharged to home or self-care"",""discharged/transferred to court/law enforcement"",""discharged/transferred to psychiatric hospital or psychiatric distinct part unit of a hospital"",""discharged/transferred to another type of institution not defined elsewhere"",""discharged/transferred to home under care of organized home health service"",""discharged/transferred to hospice care""}","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}",,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html). The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.). Data Sharing Instructions: When date/time data are prepared for aggregation or sharing they should be converted to the format specified by ISO 8601, YYYY-MM-DDThh:mm:ss",,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HospLOS,Hosp LOS,UDE,1,The cumulative amount of time spent in the hospital. Each partial or full day should be measured as one calendar day.,The cumulative amount of time spent in the hospital. Each partial or full day should be measured as one calendar day.,NUMERIC,1000,0,0,1000,{NULL},{NULL},{NULL},,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR,Heart Rate,CDE,1,The participants/subjects pulse or number of contractions (heart beats)  per minute.,The participants/subjects heart rate measured in beats per minute.,NUMERIC,300,0,0,300,{NULL},{NULL},{NULL},Beats per minute,The participant or subject identifiers or IDs should be assigned by the study.,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICDVersion,International Classification of Disease Version,CDE,1,A version of the International Classification of Disease coding system,A version of the International Classification of Diseases coding system,ALPHANUMERIC,,1,,,"{ICD-10,ICD-9-CM}","{ICD-10,ICD-9-CM}","{2,1}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU_Days,ICU Days,UDE,1,The cumulative amount of time spent in the ICU. Each partial or full day should be measured as one calender day,The cumulative amount of time spent in the ICU. Each partial or full day should be measured as one calender day,NUMERIC,1000,0,0,1000,{NULL},{NULL},{NULL},,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND_IDE,U.S. Food and Drug Administration IND or IDE,CDE,1,Indicate whether the clinical study is being conducted under an IND or IDE application filed with the FDA.,Indicate whether the clinical study is being conducted under an IND or IDE application filed with the FDA.,ALPHANUMERIC,,1,,,"{no,yes}","{""Clinical study is not conducted under an IND or IDE filed with the FDA. Includes a clinical study that is �IND exempt� under FDA regulations in 21 CFR 312.2(b), or is for a nonsignificant risk device subject to FDA-abbreviated IDE requirements in 21 CFR 812.2(b), or is exempt from the IDE filing requirements in 21 CFR 812."",""Yes Clinical study is conducted under an IND or IDE filed with the FDA""}","{NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND_IDEnum,IND or IDE number,CDE,1,IND or IDE number assigned by the FDA Center.,IND or IDE number assigned by the FDA Center.,ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDsrlnum,IND serial number,CDE,1,"For an IND, the IND serial number, as defined in 21 CFR 312.23(e), if any, assigned to the clinical study.","For an IND, the IND serial number, as defined in 21 CFR 312.23(e), if any, assigned to the clinical study.",ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indvstestats,Individual site status,CDE,1,The recruitment status of each participating facility in a clinical study.,The recruitment status of each participating facility in a clinical study.,ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inj_Type_id,Inj Type id,UDE,1,Diagnosis related to all identified injuries,Diagnosis related to all identified injuries,NUMERIC,,1,,,{NULL},{NULL},{NULL},,,,Code to classify the external cause of the injury,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InjICDExtCauseCode,Injury ICD external cause code,CDE,1,Code to classify the external cause of injury,Code to classify the external cause of injury,ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InjryDscrptn,Injury Description,UDE,1,Injury Description,Injury Description,ALPHANUMERIC,,0,,,"{Blunt,Penetrating}","{""blunt injury mechanism "",""penetrating injury mechanism""}","{NULL,NULL}",,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InjryTypDscrptn,Injury Type Descrip,UDE,1,Type of injury,Type of injury,ALPHANUMERIC,,1,,,"{1,2}","{blunt,penetrating}","{NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InjuryTypeDescrip,Injury Type Descrip,UDE,1.1,Type of injury,Type of injury,ALPHANUMERIC,,1,,,"{1,2}","{blunt,penetrating}","{NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INR,INR,UDE,1,serum measuremtn of INR,serum measuremtn of INR,NUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intrvntnm_othr,Other intervention name(s),CDE,1,"Other current and former name(s) or alias(es), if any, different from the Intervention Name(s), that the sponsor has used publicly to identify the intervention(s), including, but not limited to, past or present names such as brand name(s), or serial numbers.","Other current and former name(s) or alias(es), if any, different from the Intervention Name(s), that the sponsor has used publicly",ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intrvntnme,Intervention name(s),CDE,1,A brief descriptive name used to refer to the intervention(s) studied in each arm of the clinical study.,A brief descriptive name used to refer to the intervention(s) studied in each arm of the clinical study.,ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intrvnts,Interventions,CDE,1,Specify the intervention(s) associated with each arm or group,Specify the intervention(s) associated with each arm or group,ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intrvnttyp,Intervention type,CDE,1,"For each intervention studied in the clinicl study, the general type of intervention","For each intervention studied in the clinical study, the general type of intervention.",ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IntubatedAdmGcs,Intubated adm gcs,UDE,1,Adm GCS on intubated patient,Adm GCS on intubated patient,NUMERIC,,1,,,"{0,1}","{0,1}","{NULL,NULL}",,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invstgtrinfo,Investigator information,CDE,1,"If the Responsible Party, by Official Title is either ""Principal Investigator"" or ""Sponsor-Investigator,"" the following is required","If the Responsible Party, by Official Title is either ""Principal Investigator"" or ""Sponsor-Investigator,"" the following is required",ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISS,Injury Severity Score,CDE,1,Score measured by injury severity score (ISS),Score measured by injury severity score (ISS),NUMERIC,75,0,1,75,{NULL},{NULL},{NULL},,,,ISS,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LactateWB,Lactate WB,UDE,1,serum measurement of lactate,serum measurement of lactate,NUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LE_AIS,Lower Extremity AIS,UDE,1,AIS severity of injury for this body region,AIS severity of injury for this body region,NUMERIC,,1,,,"{5,6,2,1,4,3}","{5,6,2,1,4,3}","{NULL,NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lstnme,Last name or official title,CDE,1,"The name or title, toll-free telephone number and email address of a person to whom questions concerning enrollment at any location of the study can be addressed.","The name or title, toll-free telephone number and email address of a person to whom questions concerning enrollment at any location of the study can be addressed.",ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MrshllScre,Marshall Score,UDE,1,CT scan derived metric using only a few features used to predict outcome in patients with traumatic brain injury.,CT scan derived metric using only a few features used to predict outcome in patients with traumatic brain injury.,ALPHANUMERIC,,1,,,"{7,9,10,4,16,3,11,8,5,12,13,17,2,18,1,15,6,14}","{""3 Diffuse Injury III swelling"",""5 Evacuated mass lesion"",""5A Evacuated mass lesion extradural"",""2B Diffuse Injury II 1 lesion"",""6B non evacuated mass lesions subdural"",""2A Diffuse Injury II no lesion"",""5B Evacuated mass lesion subdural"",""4 Diffuse Injury IV shift"",""2C Diffuse Injury II >=2 unilateral lesion"",""5C Evacuated mass lesion intracerebral"",""5D Evacuated mass lesion >=2 intra + extra"",""6C non evauated mass lesion intracerebral"",""2 Diffuse Injury II"",""6D non evacuated mass lesions =2 intra+extra"",""1 Diffuse Injury I no visible pathology, negative CT"",""6A non evacuated mass lesions extradural"",""2D Diffuse Injury II bilateral lesions"",""6 Non evauated mass lesion""}","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndfr_Intrvntion,Need for Intervention,UDE,1,Need for internvention,Need for intervention,ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NdfrIntvntn,Need for Intervention,UDE,1,Need for internvention,Need for intervention,ALPHANUMERIC,,2,,,"{13,8,15,2,5,12,10,14,11,4,9,6,3,7,1}","{""subdural drainage catheter"",""IR procedure"",ventriculostomy,""camino changed to ivc"",""evd placement"",""OR for trauma surgery"",OR,v/crani,""OR for craniotomy"",craniotomy,ive,intubate,craniectmy,""IR for emboli"",camino}","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
